Id;Player;Team;Timestamp;Pass Start;Pass End
272420837;M. St\u0119pi\u0144ski;Chievo;2.86;2.92;5.91
272420869;I. Radovanovi\u0107;Chievo;5.32;5.98;7.59
272420844;N. Rigoni;Chievo;10.27;7.65;10.16
272420791;G. Chiellini;Juventus;27.07;24.13;25.93
272420792;Douglas Costa;Juventus;31.27;29.89;31.78
272420793;S. Khedira;Juventus;35.88;32.58;34.76
272420794;L. Bonucci;Juventus;38.97;36.46;39.16
272420795;G. Chiellini;Juventus;42.45;39.51;41.77
272420796;M. Pjani\u0107;Juventus;45.85;42.63;45.46
272420797;L. Bonucci;Juventus;48.54;46.32;47.88
272420798;J. Cuadrado;Juventus;51.39;49.01;51.14
272420799;L. Bonucci;Juventus;54.41;52.19;54.96
272420802;M. Pjani\u0107;Juventus;70.61;67.43;69.72
272420803;L. Bonucci;Juventus;74.0;70.94;73.11
272420805;Jo\u00e3o Cancelo;Juventus;78.08;74.98;77.44
272420806;G. Chiellini;Juventus;81.34;78.24;79.52
272420807;M. Pjani\u0107;Juventus;84.71;81.29;83.83
272420808;L. Bonucci;Juventus;89.93;86.67;89.51
272420810;G. Chiellini;Juventus;95.06;91.64;93.16
272420811;M. Pjani\u0107;Juventus;96.85;93.75;95.4
272420812;L. Bonucci;Juventus;99.69;95.99;97.6
272420813;J. Cuadrado;Juventus;101.56;98.66;101.86
272420814;Jo\u00e3o Cancelo;Juventus;104.53;102.23;104.12
272420822;G. Chiellini;Juventus;222.14;220.48;221.24
272420823;M. Pjani\u0107;Juventus;224.15;221.33;223.09
272420824;G. Chiellini;Juventus;227.56;224.34;226.1
272420826;Alex Sandro;Juventus;239.76;236.74;239.08
272420827;L. Bonucci;Juventus;243.98;240.88;243.07
272420830;Jo\u00e3o Cancelo;Juventus;251.46;250.4;251.56
272420832;P. Dybala;Juventus;253.74;251.96;252.68
272420835;Douglas Costa;Juventus;254.39;252.85;253.81
272420947;S. Sorrentino;Chievo;260.7;257.76;261.61
272420838;J. Cuadrado;Juventus;264.0;261.7;263.39
272420841;Jo\u00e3o Cancelo;Juventus;267.86;264;265.35
272420842;S. Khedira;Juventus;269.07;265.45;267.79
272420843;M. Pjani\u0107;Juventus;271.34;268.04;269.28
272420845;Cristiano Ronaldo;Juventus;273.93;270.35;271.27
272420846;Douglas Costa;Juventus;274.08;271.38;272.18
272420848;Cristiano Ronaldo;Juventus;278.67;275.45;277.35
272420849;L. Bonucci;Juventus;279.87;277.45;279.14
272420851;M. Pjani\u0107;Juventus;282.12;281.22;283.48
272420852;L. Bonucci;Juventus;287.87;284.49;286.91
272420856;J. Cuadrado;Juventus;292.28;289.3;290.52
272420857;P. Dybala;Juventus;295.52;292.24;294.81
272420858;M. Pjani\u0107;Juventus;296.96;295.46;296.78
272420860;Douglas Costa;Juventus;302.74;301.24;301.72
272420862;Alex Sandro;Juventus;303.89;305.21;305.53
272420872;S. Khedira;Juventus;366.27;363.85;365.15
272420873;L. Bonucci;Juventus;369.13;365.59;367.93
272420874;G. Chiellini;Juventus;371.94;368.88;370.73
272420875;Alex Sandro;Juventus;374.95;371.41;372.29
272420876;Douglas Costa;Juventus;375.12;372.38;373.34
272420877;Alex Sandro;Juventus;377.43;373.81;376.27
272420878;L. Bonucci;Juventus;379.86;377.6;379.45
272420879;G. Chiellini;Juventus;382.97;379.95;382.93
272420880;W. Szcz\u0119sny;Juventus;387.43;384.17;386.79
272420988;P. Hetemaj;Chievo;396.73;394.03;395.14
272420887;Jo\u00e3o Cancelo;Juventus;399.05;396.87;398.84
272420888;S. Khedira;Juventus;402.03;399.41;401.09
272420891;L. Bonucci;Juventus;421.51;418.05;421.32
272420892;G. Chiellini;Juventus;425.1;421.64;423.29
272420893;M. Pjani\u0107;Juventus;427.29;424.67;426.16
272420894;Alex Sandro;Juventus;428.52;426.26;428.75
272420895;G. Chiellini;Juventus;432.54;429.36;430.92
272420896;L. Bonucci;Juventus;436.59;433.21;435.88
272420897;Jo\u00e3o Cancelo;Juventus;439.72;436.7;438.66
272420898;L. Bonucci;Juventus;442.15;439.81;441.74
272420899;M. Pjani\u0107;Juventus;445.86;442.36;443.8
272420901;Douglas Costa;Juventus;451.25;448.15;449.64
272420902;M. Pjani\u0107;Juventus;453.68;450.74;453.2
272420903;L. Bonucci;Juventus;457.07;453.57;455.45
272420904;Jo\u00e3o Cancelo;Juventus;458.46;456.2;457.04
272420905;J. Cuadrado;Juventus;459.46;457.16;457.96
272420906;S. Khedira;Juventus;460.2;458.38;459.19
272420908;Cristiano Ronaldo;Juventus;462.53;459.27;461.51
272420913;J. Cuadrado;Juventus;466.93;463.79;464.98
272420916;P. Dybala;Juventus;468.44;465.18;465.98
272420917;J. Cuadrado;Juventus;469.06;466.16;467.29
272420919;Jo\u00e3o Cancelo;Juventus;470.59;467.45;468.9
272420921;M. Pjani\u0107;Juventus;472.32;469.02;470.27
272420922;Alex Sandro;Juventus;472.4;470.5;472.97
272420923;Cristiano Ronaldo;Juventus;476.1;473.36;474.85
