Id;Player;Team;Timestamp;Pass Start;Pass End
230702812;P. Schick;Roma;2.86;0.38;1.21
230702828;K. Strootman;Roma;3.1;1.32;3.17
230702818;F. Fazio;Roma;3.87;3.29;6.43
230702819;A. Kolarov;Roma;8.39;6.85;7.96
230702820;D. Perotti;Roma;9.49;8.03;8.77
230702813;L. Bonucci;Milan;17.91;17.17;18.28
230702814;L. Biglia;Milan;19.41;18.31;19.39
230702815;D. Calabria;Milan;21.62;20.48;21.12
230702816;F. Kessi\u00e9;Milan;23.11;21.17;23.04
230702829;K. Manolas;Roma;24.48;23.1;24.43
230702830;L. Pellegrini;Roma;26.53;24.91;26.48
230702832;C. \u00dcnder;Roma;29.87;27.89;30.57
230702837;D. Perotti;Roma;32.82;31.6;32.88
230702823;H. \u00c7alhano\u011flu;Milan;37.26;34.92;39.46
230702850;G. Bonaventura;Milan;93.15;91.57;93.89
230702846;P. Schick;Roma;94.8;93.94;95.47
230702847;D. Perotti;Roma;96.5;95.52;97.62
230702833;D. Calabria;Milan;99.05;97.67;99.88
230702835;P. Cutrone;Milan;101.46;100.08;103.59
230702852;K. Manolas;Roma;118.02;116.96;118
230702853;Bruno Peres;Roma;121.42;120.72;121.48
230702841;P. Cutrone;Milan;123.34;121.55;122.39
230702843;G. Bonaventura;Milan;124.29;122.51;123.87
230702854;F. Fazio;Roma;125.05;124.07;125.95
230702859;R. Nainggolan;Roma;130.72;129.66;131.8
230702861;L. Biglia;Milan;136.91;135.61;139.62
230702862;G. Donnarumma;Milan;142.01;139.63;141.69
230702864;L. Bonucci;Milan;144.97;143.31;145.25
230702865;A. Romagnoli;Milan;147.4;145.86;147.07
230702866;L. Biglia;Milan;148.97;147.75;149.64
230702867;L. Bonucci;Milan;152.48;150.62;152.68
230702868;G. Bonaventura;Milan;155.31;153.61;155.58
230702883;A. Kolarov;Roma;159.66;157.96;159.73
230702870;L. Biglia;Milan;162.31;160.57;162.21
230702871;L. Bonucci;Milan;163.84;162.78;163.98
230702872;F. Kessi\u00e9;Milan;166.16;165.06;166.06
230702873;D. Calabria;Milan;167.79;166.57;170.4
230702876;R. Rodr\u00edguez;Milan;193.37;191.63;193.56
230702877;F. Kessi\u00e9;Milan;196.0;194.34;195.24
230702879;G. Bonaventura;Milan;196.44;195.3;196.47
