Id;Player;Team;Timestamp;Pass Start;Pass End
217029048;M. Icardi;Internazionale;2.1;0;0
217029050;R. Gagliardini;Internazionale;4.02;1.52;3.12
217029051;A. Candreva;Internazionale;5.73;3.21;5.16
217029052;Jo\u00e3o Cancelo;Internazionale;8.62;6.12;8.08
217029053;M. \u0160kriniar;Internazionale;12.67;10.01;11.81
217029055;Jo\u00e3o Miranda;Internazionale;15.84;14.26;15.94
217029056;D. D'Ambrosio;Internazionale;18.45;16.75;17.86
217029057;I. Peri\u0161i\u0107;Internazionale;20.52;17.94;20.35
217029060;Eder;Internazionale;22.31;21.13;21.83
217029062;I. Peri\u0161i\u0107;Internazionale;25.35;22.89;24.89
217029064;M. Icardi;Internazionale;26.91;24.97;26.41
217029071;Jo\u00e3o Miranda;Internazionale;51.69;49.31;50.52
217029072;A. Candreva;Internazionale;52.98;50.64;52.13
217029077;Jo\u00e3o Cancelo;Internazionale;58.17;55.75;56.49
217029085;I. Peri\u0161i\u0107;Internazionale;111.94;109.64;111.61
217029140;S. Missiroli;Sassuolo;118.92;116.9;118.58
217029089;Eder;Internazionale;140.52;138.74;139.73
217029090;I. Peri\u0161i\u0107;Internazionale;141.37;139.87;141.51
217029091;A. Candreva;Internazionale;143.59;141.97;144.31
217029092;Jo\u00e3o Cancelo;Internazionale;147.89;146.95;148.63
217029094;A. Candreva;Internazionale;150.41;148.67;150.31
217029095;Jo\u00e3o Cancelo;Internazionale;153.36;151.82;153.19
217029104;Jo\u00e3o Miranda;Internazionale;237.43;234.77;236.29
217029108;A. Candreva;Internazionale;241.54;239.36;240.55
217029109;Jo\u00e3o Miranda;Internazionale;243.04;241.34;242.38
217029111;A. Candreva;Internazionale;244.9;242.52;244.13
217029112;A. Candreva;Internazionale;252.03;249.85;251.85
217029121;Borja Valero;Internazionale;284.4;281.7;283.95
217029122;Jo\u00e3o Miranda;Internazionale;287.59;284.93;287.34
217029123;S. Handanovi\u010d;Internazionale;289.75;288.33;289.61
